40001 3
0.00000	-65.00000	-65.00000	
0.02500	-64.92337	-64.92337	
0.05000	-64.84734	-64.84734	
0.07500	-64.77189	-64.77189	
0.10000	-64.69702	-64.69702	
0.12500	-64.62273	-64.62273	
0.15000	-64.54900	-64.54900	
0.17500	-64.47585	-64.47585	
0.20000	-64.40326	-64.40326	
0.22500	-64.33124	-64.33124	
0.25000	-64.25976	-64.25976	
0.27500	-64.18884	-64.18884	
0.30000	-64.11847	-64.11847	
0.32500	-64.04864	-64.04864	
0.35000	-63.97935	-63.97935	
0.37500	-63.91060	-63.91060	
0.40000	-63.84237	-63.84237	
0.42500	-63.77468	-63.77468	
0.45000	-63.70751	-63.70751	
0.47500	-63.64086	-63.64086	
0.50000	-63.57472	-63.57472	
0.52500	-63.50910	-63.50910	
0.55000	-63.44399	-63.44399	
0.57500	-63.37938	-63.37938	
0.60000	-63.31528	-63.31528	
0.62500	-63.25167	-63.25167	
0.65000	-63.18856	-63.18856	
0.67500	-63.12594	-63.12594	
0.70000	-63.06380	-63.06380	
0.72500	-63.00215	-63.00215	
0.75000	-62.94098	-62.94098	
0.77500	-62.88028	-62.88028	
0.80000	-62.82006	-62.82006	
0.82500	-62.76031	-62.76031	
0.85000	-62.70102	-62.70102	
0.87500	-62.64220	-62.64220	
0.90000	-62.58384	-62.58384	
0.92500	-62.52593	-62.52593	
0.95000	-62.46848	-62.46848	
0.97500	-62.41148	-62.41148	
1.00000	-62.35492	-62.35492	
1.02500	-62.29881	-62.29881	
1.05000	-62.24314	-62.24314	
1.07500	-62.18790	-62.18790	
1.10000	-62.13310	-62.13310	
1.12500	-62.07873	-62.07873	
1.15000	-62.02479	-62.02479	
1.17500	-61.97127	-61.97127	
1.20000	-61.91817	-61.91817	
1.22500	-61.86550	-61.86550	
1.25000	-61.81323	-61.81323	
1.27500	-61.76139	-61.76139	
1.30000	-61.70995	-61.70995	
1.32500	-61.65891	-61.65891	
1.35000	-61.60829	-61.60829	
1.37500	-61.55806	-61.55806	
1.40000	-61.50823	-61.50823	
1.42500	-61.45880	-61.45880	
1.45000	-61.40976	-61.40976	
1.47500	-61.36110	-61.36110	
1.50000	-61.31284	-61.31284	
1.52500	-61.26496	-61.26496	
1.55000	-61.21746	-61.21746	
1.57500	-61.17034	-61.17034	
1.60000	-61.12360	-61.12360	
1.62500	-61.07723	-61.07723	
1.65000	-61.03123	-61.03123	
1.67500	-60.98560	-60.98560	
1.70000	-60.94033	-60.94033	
1.72500	-60.89543	-60.89543	
1.75000	-60.85089	-60.85089	
1.77500	-60.80671	-60.80671	
1.80000	-60.76288	-60.76288	
1.82500	-60.71940	-60.71940	
1.85000	-60.67628	-60.67628	
1.87500	-60.63350	-60.63350	
1.90000	-60.59107	-60.59107	
1.92500	-60.54898	-60.54898	
1.95000	-60.50724	-60.50724	
1.97500	-60.46583	-60.46583	
2.00000	-60.42475	-60.42475	
2.02500	-60.38401	-60.38401	
2.05000	-60.34360	-60.34360	
2.07500	-60.30352	-60.30352	
2.10000	-60.26377	-60.26377	
2.12500	-60.22434	-60.22434	
2.15000	-60.18523	-60.18523	
2.17500	-60.14645	-60.14645	
2.20000	-60.10798	-60.10798	
2.22500	-60.06982	-60.06982	
2.25000	-60.03198	-60.03198	
